SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6327 Del Cerro Ct,San Diego,CA,92120,750000,4,2.0,Del Cerro,2288,8200,1968,8,328,,Active,,,http://www.redfin.com/CA/San-Diego/6327-Del-Cerro-Ct-92120/home/5444408,SDMLS,180068352,N,Y,32.779578,-117.0617094
MLS Listing,,Single Family Residential,2822 Kobe Dr,San Diego,CA,92123,750000,5,3.0,Serra Mesa,2622,8200,1960,27,286,,Active,,,http://www.redfin.com/CA/San-Diego/2822-Kobe-Dr-92123/home/5214656,SDMLS,180066111,N,Y,32.7959761,-117.1380336
MLS Listing,,Single Family Residential,1514 Ajay St,El Cajon,CA,92020,749900,3,2.0,El Cajon,1817,9656,1976,104,413,,Active,,,http://www.redfin.com/CA/El-Cajon/1514-Ajay-St-92020/home/5057749,SDMLS,180052347,N,Y,32.815096,-116.9988777
MLS Listing,,Single Family Residential,5343 Huaracha Ct,San Diego,CA,92124,749900,4,2.0,Tierrasanta,2040,8000,1972,87,368,,Active,,,http://www.redfin.com/CA/San-Diego/5343-Huaracha-Ct-92124/home/4988637,SDMLS,180056114,N,Y,32.8275409,-117.09664
MLS Listing,,Single Family Residential,3586 Idlewild Way,San Diego,CA,92117,749000,3,3.0,Clairemont,1572,7000,1958,26,476,,Active,,,http://www.redfin.com/CA/San-Diego/3586-Idlewild-Way-92117/home/4957135,SDMLS,180066258,N,Y,32.8263733,-117.2089775
MLS Listing,,Single Family Residential,7760 Hillandale,San diego,CA,92120,749000,5,3.0,Del Cerro,2340,8900,1971,102,320,,Active,,,http://www.redfin.com/CA/San-Diego/7760-Hillandale-Dr-92120/home/5407679,SDMLS,180052771,N,Y,32.8100141,-117.0653655
MLS Listing,,Single Family Residential,2836 Burgener Blvd,San Diego,CA,92110,749000,2,2.0,Bay Park,1385,,1952,25,541,,Active,,,http://www.redfin.com/CA/San-Diego/2836-Burgener-Blvd-92110/home/5219877,SDMLS,180066539,N,Y,32.7924105,-117.1934491
MLS Listing,,Single Family Residential,8867 Glenhaven St,San Diego,CA,92123,749000,4,2.0,Serra Mesa,2371,8100,1959,112,316,,Active,,,http://www.redfin.com/CA/San-Diego/8867-Glenhaven-St-92123/home/5170948,SDMLS,180050845,N,Y,32.8050821,-117.1372983
MLS Listing,,Single Family Residential,14344 York Ave,Poway,CA,92064,749000,5,3.0,Poway,2200,9065,1977,83,340,,Active,,,http://www.redfin.com/CA/Poway/14344-York-Ave-92064/home/4712488,SDMLS,180056580,N,Y,32.9742147,-117.0393882
MLS Listing,,Single Family Residential,12427 Paseo Colina,Poway,CA,92064,749000,4,2.5,Poway,2147,7100,1974,264,349,,Active,,,http://www.redfin.com/CA/Poway/12427-Paseo-Colina-92064/home/4789981,SDMLS,180018743,N,Y,32.943577,-117.0650424
MLS Listing,,Single Family Residential,3961 Apore St,La Mesa,CA,91941,749000,5,2.0,La Mesa,2115,9500,1967,34,354,,Active,,,http://www.redfin.com/CA/La-Mesa/3961-Apore-St-91941/home/5528211,SDMLS,180064901,N,Y,32.7502476,-117.0358479
MLS Listing,,Single Family Residential,6708 TUXEDO Rd,SAN DIEGO,CA,92119,744900,4,2.5,San Carlos,2359,,1980,171,316,,Active,,,http://www.redfin.com/CA/San-Diego/Undisclosed-address-92119/home/4980669,SDMLS,180038479,N,Y,32.811892,-117.0509744
MLS Listing,,Single Family Residential,8966 Hightail Dr,Santee,CA,92071,739900,4,3.0,Santee,2522,7161,2018,79,293,300,Active,,,http://www.redfin.com/CA/Santee/8966-Hightail-Dr-92071/home/147599987,SDMLS,180057561,N,Y,32.8678728,-116.9970153
MLS Listing,,Single Family Residential,9534 Jeremy St,Santee,CA,92071,739900,4,2.0,Santee,2210,7101,2018,124,335,104,Active,,,http://www.redfin.com/CA/Santee/9534-Jeremy-St-92071/home/144731883,SDMLS,180048383,N,Y,32.8508111,-116.9633713
MLS Listing,,Single Family Residential,7102 Glenflora Ave,San Diego,CA,92119,739000,4,3.0,San Carlos,1898,7800,1964,103,389,,Active,,,http://www.redfin.com/CA/San-Diego/7102-Glenflora-Ave-92119/home/6247488,SDMLS,180052744,N,Y,32.8002807,-117.0431584
MLS Listing,,Single Family Residential,9435 showplace,la mesa,CA,91941,739000,5,2.0,La Mesa,2173,29700,1973,33,340,,Active,,,http://www.redfin.com/CA/La-Mesa/9435-Showplace-Dr-91941/home/5642368,SDMLS,180065072,N,Y,32.7519029,-116.9945549
